signal_threshold,rsi_overbought,rsi_oversold,accuracy,edge_pct,correct,total_tested,n_bullish,n_bearish,n_neutral,n_signals,signal_rate
0.3,80,25,0.43333333333333335,-6.666666666666665,78,180,170,10,150,180,0.5454545454545454
0.1,80,35,0.4329501915708812,-6.704980842911878,113,261,240,21,69,261,0.7909090909090909
0.4,70,20,0.43283582089552236,-6.716417910447764,58,134,130,4,196,134,0.40606060606060607
0.4,70,25,0.43283582089552236,-6.716417910447764,58,134,130,4,196,134,0.40606060606060607
0.4,70,30,0.43283582089552236,-6.716417910447764,58,134,130,4,196,134,0.40606060606060607
0.3,75,20,0.4327485380116959,-6.725146198830412,74,171,161,10,159,171,0.5181818181818182
0.3,75,30,0.4327485380116959,-6.725146198830412,74,171,161,10,159,171,0.5181818181818182
0.3,75,25,0.4327485380116959,-6.725146198830412,74,171,161,10,159,171,0.5181818181818182
0.4,80,35,0.432258064516129,-6.774193548387098,67,155,152,3,175,155,0.4696969696969697
0.25,70,35,0.43125,-6.874999999999998,69,160,153,7,170,160,0.48484848484848486
0.25,75,35,0.430939226519337,-6.906077348066297,78,181,174,7,149,181,0.5484848484848485
0.15,80,30,0.4308300395256917,-6.916996047430829,109,253,234,19,77,253,0.7666666666666667
0.15,80,25,0.4308300395256917,-6.916996047430829,109,253,234,19,77,253,0.7666666666666667
0.15,80,20,0.4308300395256917,-6.916996047430829,109,253,234,19,77,253,0.7666666666666667
0.25,80,35,0.4293193717277487,-7.0680628272251305,82,191,184,7,139,191,0.5787878787878787
0.4,70,35,0.42857142857142855,-7.142857142857145,57,133,130,3,197,133,0.403030303030303
0.2,65,35,0.42771084337349397,-7.2289156626506035,71,166,158,8,164,166,0.503030303030303
0.3,70,25,0.4276315789473684,-7.236842105263158,65,152,142,10,178,152,0.46060606060606063
0.3,70,20,0.4276315789473684,-7.236842105263158,65,152,142,10,178,152,0.46060606060606063
0.3,70,30,0.4276315789473684,-7.236842105263158,65,152,142,10,178,152,0.46060606060606063
0.15,65,35,0.4270833333333333,-7.291666666666669,82,192,177,15,138,192,0.5818181818181818
0.3,80,35,0.42613636363636365,-7.386363636363635,75,176,170,6,154,176,0.5333333333333333
0.35,80,30,0.4260355029585799,-7.396449704142011,72,169,164,5,161,169,0.5121212121212121
0.35,80,25,0.4260355029585799,-7.396449704142011,72,169,164,5,161,169,0.5121212121212121
0.35,80,20,0.4260355029585799,-7.396449704142011,72,169,164,5,161,169,0.5121212121212121
0.35,75,30,0.42592592592592593,-7.4074074074074066,69,162,157,5,168,162,0.4909090909090909
0.35,75,25,0.42592592592592593,-7.4074074074074066,69,162,157,5,168,162,0.4909090909090909
0.35,75,20,0.42592592592592593,-7.4074074074074066,69,162,157,5,168,162,0.4909090909090909
0.15,80,35,0.42570281124497994,-7.429718875502006,106,249,234,15,81,249,0.7545454545454545
0.3,75,35,0.4251497005988024,-7.485029940119759,71,167,161,6,163,167,0.5060606060606061
0.35,80,35,0.4251497005988024,-7.485029940119759,71,167,164,3,163,167,0.5060606060606061
