date,state,regime,confidence,prob_bear,prob_bull,prob_high-volatility,prob_low-volatility
2025-07-16,0,bear,0.9999998716261953,0.9999998716261953,1.0522079395678611e-41,1.283737977574254e-07,0.0
2025-07-17,0,bear,0.9999997766406318,0.9999997766406318,7.242257613594741e-44,2.233593022361021e-07,0.0
2025-07-18,0,bear,0.9999974659815781,0.9999974659815781,6.349179282653732e-41,2.5340183682188694e-06,0.0
2025-07-19,0,bear,0.9999974345190533,0.9999974345190533,2.5079758031896616e-40,2.565480924857427e-06,0.0
2025-07-20,0,bear,0.9999969853970434,0.9999969853970434,3.4292572196607916e-39,3.014602881216818e-06,0.0
2025-07-21,0,bear,0.9999932246685027,0.9999932246685027,1.1140287401713735e-38,6.775331554112605e-06,0.0
2025-07-22,0,bear,0.9999995276781398,0.9999995276781398,6.291246194563965e-39,4.723219704607068e-07,0.0
2025-07-23,0,bear,0.9999988351723877,0.9999988351723877,4.887695559670975e-40,1.1648276277643147e-06,0.0
2025-07-24,0,bear,0.999998558913732,0.999998558913732,1.4127880165332307e-40,1.441086339412144e-06,0.0
2025-07-25,0,bear,0.9999994881717558,0.9999994881717558,3.9390216043082934e-42,5.118282442805616e-07,0.0
2025-07-26,0,bear,0.9999991296701104,0.9999991296701104,8.121492278720017e-42,8.703299397609106e-07,0.0
2025-07-27,0,bear,0.9999979965570733,0.9999979965570733,3.228575503130805e-46,2.003442877357981e-06,0.0
2025-07-28,0,bear,0.9999999730923722,0.9999999730923722,3.7452462797908073e-45,2.690753229916628e-08,0.0
2025-07-29,0,bear,0.999999536462945,0.999999536462945,2.428617140070078e-40,4.635371563301797e-07,0.0
2025-07-30,0,bear,0.9999974195826877,0.9999974195826877,2.5049377492564202e-40,2.580417331770839e-06,0.0
2025-07-31,0,bear,0.9999982365927367,0.9999982365927367,1.611478208638326e-39,1.7634071919929463e-06,0.0
2025-08-01,0,bear,0.9999964449018064,0.9999964449018064,4.670485260518236e-40,3.5550982696195343e-06,0.0
2025-08-02,0,bear,0.9999776011689581,0.9999776011689581,1.1395036385517312e-36,2.2398831050489138e-05,0.0
2025-08-03,0,bear,0.9878287534101078,0.9878287534101078,7.866181115265845e-39,0.012171246589865205,0.0
2025-08-04,2,high-volatility,0.998218621128506,0.0017813788715507048,1.2007980069626696e-46,0.998218621128506,0.0
2025-08-05,2,high-volatility,0.9999977660761429,2.2339238090304667e-06,2.572937269550511e-42,0.9999977660761429,0.0
2025-08-06,2,high-volatility,0.9999999408953517,5.9104594102265975e-08,8.984947046225073e-45,0.9999999408953517,0.0
2025-08-07,2,high-volatility,0.9999999222545769,7.774552093417029e-08,1.9171824421136012e-44,0.9999999222545769,0.0
2025-08-08,2,high-volatility,0.9999998761582068,1.238416812732983e-07,6.142480963844527e-44,0.9999998761582068,0.0
2025-08-09,2,high-volatility,0.9999999196788881,8.032117625621772e-08,2.1070356554698338e-44,0.9999999196788881,0.0
2025-08-10,2,high-volatility,0.9999999795661554,2.0433889809362223e-08,6.741112535612878e-48,0.9999999795661554,0.0
2025-08-11,2,high-volatility,0.9999999804856545,1.9514403703254214e-08,1.8198417621005693e-47,0.9999999804856545,0.0
2025-08-12,2,high-volatility,0.9999999992824087,7.175096847325397e-10,1.0580509736136153e-46,0.9999999992824087,0.0
2025-08-13,2,high-volatility,0.9999999999997726,3.0733429986770924e-13,4.010138044716823e-64,0.9999999999997726,0.0
2025-08-14,2,high-volatility,0.9999999999142801,8.574965497473584e-11,1.0992553318403702e-48,0.9999999999142801,0.0
2025-08-15,2,high-volatility,0.9999999999561169,4.3871519129205635e-11,7.95764962402195e-51,0.9999999999561169,0.0
2025-08-16,2,high-volatility,0.9999999999597549,4.0256216057693726e-11,3.16901724382932e-50,0.9999999999597549,0.0
2025-08-17,2,high-volatility,0.9999999999972715,2.7287988288542262e-12,1.1476387039700031e-52,0.9999999999972715,0.0
2025-08-18,2,high-volatility,0.999999999992724,7.27967510971035e-12,2.5548667263810765e-51,0.999999999992724,0.0
2025-08-19,2,high-volatility,0.9999999999618012,3.8277339821920175e-11,4.0800278010685225e-47,0.9999999999618012,0.0
2025-08-20,2,high-volatility,0.9999999988915533,1.1085547197952995e-09,1.9649865050495776e-43,0.9999999988915533,0.0
2025-08-21,2,high-volatility,0.9999999996387032,3.6138856147311233e-10,3.846370504835899e-42,0.9999999996387032,0.0
2025-08-22,2,high-volatility,0.9999999955030034,4.497017350663795e-09,1.2206659066177082e-40,0.9999999955030034,0.0
2025-08-23,2,high-volatility,0.9999999999920419,7.9070529054518e-12,6.557807531313872e-40,0.9999999999920419,0.0
2025-08-24,2,high-volatility,0.9999999999995453,3.5797221588081394e-13,5.4376419321502407e-39,0.9999999999995453,0.0
2025-08-25,2,high-volatility,0.9999999999995453,5.168712390457251e-13,2.1130907258015986e-39,0.9999999999995453,0.0
2025-08-26,2,high-volatility,0.9999999963229129,3.6770831391834683e-09,1.437667815773671e-35,0.9999999963229129,0.0
2025-08-27,2,high-volatility,0.9999999995504822,4.4956783796116256e-10,2.0480148028127673e-36,0.9999999995504822,0.0
2025-08-28,2,high-volatility,0.9999999984761416,1.5238683294959104e-09,5.2536362373562754e-37,0.9999999984761416,0.0
