date,state,regime,confidence,prob_low-volatility,prob_bull,prob_high-volatility,prob_bear
2025-10-25,2,high-volatility,1.0,8.791375011247437e-15,0.0,1.0,0.0
2025-10-26,2,high-volatility,0.9999999999998863,1.5698122666205016e-13,0.0,0.9999999999998863,0.0
2025-10-27,2,high-volatility,0.9999999999893134,1.073865037199773e-11,0.0,0.9999999999893134,0.0
2025-10-28,2,high-volatility,0.9999992277314076,7.72268556432116e-07,0.0,0.9999992277314076,0.0
2025-10-29,2,high-volatility,0.976378638144486,0.02362136185555697,0.0,0.976378638144486,0.0
2025-10-30,0,low-volatility,0.7085104306161072,0.7085104306161072,0.0,0.291489569383941,0.0
2025-10-31,0,low-volatility,0.9844491705795565,0.9844491705795565,0.0,0.015550829420450458,0.0
2025-11-01,0,low-volatility,0.9997496144593933,0.9997496144593933,0.0,0.00025038554057727516,0.0
2025-11-02,0,low-volatility,0.9999982964692167,0.9999982964692167,0.0,1.7035307347962766e-06,0.0
2025-11-03,0,low-volatility,0.9999990830403588,0.9999990830403588,0.0,9.169596316394227e-07,0.0
2025-11-04,0,low-volatility,0.999998810731338,0.999998810731338,0.0,1.1892686430393083e-06,0.0
2025-11-05,0,low-volatility,0.9999982693198232,0.9999982693198232,0.0,1.7306801239306978e-06,0.0
2025-11-06,0,low-volatility,0.9999974947663308,0.9999974947663308,0.0,2.5052336849274553e-06,0.0
2025-11-07,0,low-volatility,0.9999990917584259,0.9999990917584259,0.0,9.082415578856996e-07,0.0
2025-11-08,0,low-volatility,0.9999987623720854,0.9999987623720854,0.0,1.2376279103272525e-06,0.0
2025-11-09,0,low-volatility,0.9999996329657498,0.9999996329657498,0.0,3.670342177245886e-07,0.0
2025-11-10,0,low-volatility,0.9999984091288219,0.9999984091288219,0.0,1.5908711288813354e-06,0.0
2025-11-11,0,low-volatility,0.9999986128477147,0.9999986128477147,0.0,1.3871523091546722e-06,0.0
2025-11-12,0,low-volatility,0.9999993760029284,0.9999993760029284,0.0,6.23997104049869e-07,0.0
2025-11-13,0,low-volatility,0.9999968932830198,0.9999968932830198,0.0,3.1067170071650065e-06,0.0
2025-11-14,0,low-volatility,0.9999999440868821,0.9999999440868821,0.0,5.591312004536062e-08,0.0
2025-11-15,0,low-volatility,0.9999999648600812,0.9999999648600812,0.0,3.5139959693565016e-08,0.0
2025-11-16,0,low-volatility,0.9999999814410787,0.9999999814410787,0.0,1.855887241351691e-08,0.0
2025-11-17,0,low-volatility,0.9999997694744972,0.9999997694744972,0.0,2.3052549036852258e-07,0.0
2025-11-18,0,low-volatility,0.9999999566073265,0.9999999566073265,0.0,4.339263531922829e-08,0.0
2025-11-19,0,low-volatility,0.9999998840519378,0.9999998840519378,0.0,1.1594801730890881e-07,0.0
2025-11-20,0,low-volatility,0.9999999127811672,0.9999999127811672,0.0,8.721880273803887e-08,0.0
2025-11-21,0,low-volatility,0.9999998755372494,0.9999998755372494,0.0,1.244627584465458e-07,0.0
2025-11-22,0,low-volatility,0.9999998904086229,0.9999998904086229,0.0,1.0959133343928902e-07,0.0
2025-11-23,0,low-volatility,0.9999999099050042,0.9999999099050042,0.0,9.009494845423376e-08,0.0
2025-11-24,0,low-volatility,0.9999999117259261,0.9999999117259261,0.0,8.827402945801008e-08,0.0
2025-11-25,0,low-volatility,0.9999999533586117,0.9999999533586117,0.0,4.6641387314391745e-08,0.0
2025-11-26,0,low-volatility,0.9999999949016001,0.9999999949016001,0.0,5.098349259472907e-09,0.0
2025-11-27,0,low-volatility,0.9999992423800591,0.9999992423800591,0.0,7.576199123440432e-07,0.0
2025-11-28,0,low-volatility,0.9999678166801056,0.9999678166801056,0.0,3.218331994594637e-05,0.0
2025-11-29,0,low-volatility,0.9999908753316256,0.9999908753316256,0.0,9.124668340277197e-06,0.0
2025-11-30,0,low-volatility,0.9999957602890454,0.9999957602890454,0.0,4.239710904456533e-06,0.0
2025-12-01,0,low-volatility,0.9999962621120004,0.9999962621120004,0.0,3.7378879907523017e-06,0.0
2025-12-02,0,low-volatility,0.999999088710712,0.999999088710712,0.0,9.11289322750683e-07,0.0
2025-12-03,0,low-volatility,0.9999998172419449,0.9999998172419449,0.0,1.8275807108215597e-07,0.0
2025-12-04,0,low-volatility,0.9999998709129242,0.9999998709129242,0.0,1.2908702874264958e-07,0.0
2025-12-05,0,low-volatility,0.9999999102531132,0.9999999102531132,0.0,8.974691314691804e-08,0.0
2025-12-06,0,low-volatility,0.9999999080212134,0.9999999080212134,0.0,9.197873069171347e-08,0.0
2025-12-07,0,low-volatility,0.9999999643076769,0.9999999643076769,0.0,3.569228305155472e-08,0.0
2025-12-08,0,low-volatility,0.999999968643579,0.999999968643579,0.0,3.1356477161481474e-08,0.0
2025-12-09,0,low-volatility,0.9999999373923194,0.9999999373923194,0.0,6.260769404576599e-08,0.0
2025-12-10,0,low-volatility,0.9999999093273614,0.9999999093273614,0.0,9.067261627288264e-08,0.0
2025-12-11,0,low-volatility,0.9999995073288878,0.9999995073288878,0.0,4.926711040935593e-07,0.0
2025-12-12,0,low-volatility,0.9999976239359774,0.9999976239359774,0.0,2.3760640540132347e-06,0.0
2025-12-13,0,low-volatility,0.9999994908732946,0.9999994908732946,0.0,5.091267378272588e-07,0.0
2025-12-14,0,low-volatility,0.9999994399520779,0.9999994399520779,0.0,5.600479640680369e-07,0.0
2025-12-15,0,low-volatility,0.9999991099805906,0.9999991099805906,0.0,8.900193709589252e-07,0.0
2025-12-16,0,low-volatility,0.9999986127613129,0.9999986127613129,0.0,1.3872386339866544e-06,0.0
2025-12-17,0,low-volatility,0.9999989982418825,0.9999989982418825,0.0,1.0017580969157988e-06,0.0
2025-12-18,0,low-volatility,0.9999997641685063,0.9999997641685063,0.0,2.3583144989514066e-07,0.0
2025-12-19,0,low-volatility,0.9999997653500534,0.9999997653500534,0.0,2.3464993763383132e-07,0.0
2025-12-20,0,low-volatility,0.9999997683078432,0.9999997683078432,0.0,2.3169211572184733e-07,0.0
