date,state,regime,confidence,prob_sideways,prob_high-volatility,prob_low-volatility
2025-07-23,4,low-volatility,0.9999999999670308,9.15185520633267e-30,0.0,0.9999999999670308
2025-07-24,4,low-volatility,0.9999999976703293,2.84572385220611e-37,0.0,0.9999999976703293
2025-07-25,4,low-volatility,0.9999999999492957,2.3336007085028613e-37,0.0,0.9999999999492957
2025-07-26,4,low-volatility,0.9999999999727152,8.765959536505156e-41,0.0,0.9999999999727152
2025-07-27,4,low-volatility,0.9999999999977263,2.1580211637367255e-39,0.0,0.9999999999977263
2025-07-28,4,low-volatility,0.9999999999995453,5.208143410567991e-34,0.0,0.9999999999995453
2025-07-29,4,low-volatility,1.0,8.917859563536283e-28,0.0,1.0
2025-07-30,4,low-volatility,1.0,1.4870817890762866e-22,0.0,1.0
2025-07-31,1,sideways,0.9999471253656987,6.706429640685317e-20,0.0,5.287463432872612e-05
2025-08-01,1,sideways,0.9999999670533276,3.29467515233155e-08,0.0,4.623735898633119e-15
2025-08-02,1,sideways,0.9999999826222848,1.7324852580953115e-08,0.0,5.290676462568075e-11
2025-08-03,1,sideways,0.9999999759763799,2.4009720169697613e-08,0.0,1.3961092456969541e-11
2025-08-04,1,sideways,0.9999999796582417,2.0341382255869965e-08,0.0,4.8277725548359e-13
2025-08-05,1,sideways,0.9999999682870572,3.17091155419069e-08,0.0,3.8290684294396955e-12
2025-08-06,1,sideways,0.9999999437657168,5.621781651478174e-08,0.0,1.652729038290785e-11
2025-08-07,1,sideways,0.9999999623005358,3.7697839110371155e-08,0.0,1.538511296171968e-12
2025-08-08,1,sideways,0.9999999663727982,3.362682978370107e-08,0.0,3.10494947691283e-13
2025-08-09,1,sideways,0.9999999407709783,5.922204775231936e-08,0.0,6.86409638798234e-12
2025-08-10,1,sideways,0.999999948224287,5.176315647754877e-08,0.0,1.2538129839356177e-11
2025-08-11,1,sideways,0.9999995434303534,4.554120718834354e-07,0.0,1.157499666120586e-09
2025-08-12,1,sideways,0.9999997048199001,2.951454835095046e-07,0.0,3.4585357398484846e-11
2025-08-13,1,sideways,0.9999999147635245,8.523481169507322e-08,0.0,1.6724057472227899e-12
2025-08-14,1,sideways,0.9999999465189845,5.310836899217235e-08,0.0,3.726326167250751e-10
2025-08-15,1,sideways,0.9999999409465108,5.585681871838051e-08,0.0,3.1967826596297995e-09
2025-08-16,1,sideways,0.9999999610938638,3.5826126947257075e-08,0.0,3.0801079409537822e-09
2025-08-17,1,sideways,0.9999999828171441,1.5848603238621785e-08,0.0,1.334247795143254e-09
2025-08-18,1,sideways,0.999999922906912,3.7625443238688154e-08,0.0,3.9467623726229143e-08
2025-08-19,1,sideways,0.9999960499749956,3.7458376000291804e-33,0.0,3.947303966013191e-06
2025-08-20,4,low-volatility,0.9999990263234133,1.0528717896922561e-31,0.0,0.9999990263234133
2025-08-21,4,low-volatility,0.9999999999913598,1.4751128070692725e-31,0.0,0.9999999999913598
2025-08-22,4,low-volatility,0.9999999986202965,1.056950999230222e-34,0.0,0.9999999986202965
2025-08-23,4,low-volatility,0.9999999994204245,5.3918759317835546e-36,0.0,0.9999999994204245
2025-08-24,4,low-volatility,0.999999998555495,9.80050015840879e-37,0.0,0.999999998555495
2025-08-25,4,low-volatility,0.9999999989670414,1.5908940109095343e-37,0.0,0.9999999989670414
2025-08-26,4,low-volatility,0.9999999988986019,8.41473239894443e-37,0.0,0.9999999988986019
2025-08-27,4,low-volatility,0.9999999979618224,9.339747817863763e-34,0.0,0.9999999979618224
2025-08-28,4,low-volatility,0.9999999994965947,2.2303833203311947e-40,0.0,0.9999999994965947
2025-08-29,4,low-volatility,0.9999999994226982,2.1844839234467264e-39,0.0,0.9999999994226982
2025-08-30,4,low-volatility,0.9999999991553068,1.9720789259608836e-42,0.0,0.9999999991553068
2025-08-31,4,low-volatility,0.9999999923156793,9.680949917865893e-43,0.0,0.9999999923156793
2025-09-01,4,low-volatility,0.9999999972924343,4.7065071545228385e-39,0.0,0.9999999972924343
2025-09-02,4,low-volatility,0.9999999971591933,3.452343006314123e-36,0.0,0.9999999971591933
2025-09-03,4,low-volatility,0.9999999432388921,1.0467813011055349e-38,0.0,0.9999999432388921
2025-09-04,4,low-volatility,0.9999999587414559,1.5583727362564963e-38,0.0,0.9999999587414559
2025-09-05,4,low-volatility,0.9999999829844911,9.428148886775482e-40,0.0,0.9999999829844911
2025-09-06,4,low-volatility,0.9999999388860507,2.754227505430405e-37,0.0,0.9999999388860507
2025-09-07,4,low-volatility,0.9999996393403958,1.0203959486387751e-33,0.0,0.9999996393403958
2025-09-08,4,low-volatility,0.9999886325775051,1.2598218518491637e-31,0.0,0.9999886325775051
2025-09-09,4,low-volatility,0.9999896868300523,1.5099402209455493e-40,0.0,0.9999896868300523
2025-09-10,4,low-volatility,0.9999999676633712,7.896639622524225e-46,0.0,0.9999999676633712
2025-09-11,4,low-volatility,0.9999999998408384,2.1064779449323355e-42,0.0,0.9999999998408384
2025-09-12,4,low-volatility,0.9999999929789283,9.695187406587802e-44,0.0,0.9999999929789283
2025-09-13,4,low-volatility,0.9999999933170329,2.7476125725069483e-37,0.0,0.9999999933170329
2025-09-14,4,low-volatility,0.9999999878252765,2.2966530639615903e-31,0.0,0.9999999878252765
2025-09-15,4,low-volatility,0.9999995961091733,2.653077079483272e-38,0.0,0.9999995961091733
2025-09-16,4,low-volatility,0.9999999401791246,9.045831923880842e-36,0.0,0.9999999401791246
2025-09-17,4,low-volatility,0.9999999350316123,6.528905879049342e-50,0.0,0.9999999350316123
2025-09-18,4,low-volatility,0.9999999999929514,1.1573396928050014e-48,0.0,0.9999999999929514
2025-09-19,4,low-volatility,0.9999999999843112,1.5759674696699546e-51,0.0,0.9999999999843112
2025-09-20,4,low-volatility,0.9999999999947704,3.1209196905036005e-52,0.0,0.9999999999947704
