date,state,regime,confidence,prob_sideways,prob_bull,prob_bear,prob_high-volatility,prob_low-volatility
2025-06-29,0,sideways,0.9999987533304687,0.9999987533304687,1.0180465166601864e-06,1.0834452518512647e-26,2.668868262526452e-126,2.2862310667166442e-07
2025-06-30,0,sideways,0.9999985075892023,0.9999985075892023,1.285733157831532e-06,5.801530099419985e-27,2.540793955385262e-129,2.0667764766856653e-07
2025-07-01,0,sideways,0.9999750766637581,0.9999750766637581,2.473874363318377e-05,1.9783754675539717e-38,1.0577444193592317e-107,1.8459253817474621e-07
2025-07-02,0,sideways,0.999998609552961,0.999998609552961,1.7270744245736952e-07,9.851711574267678e-35,4.2537060637330525e-94,1.2177394963130144e-06
2025-07-03,0,sideways,0.9999981842880175,0.9999981842880175,1.3551398704018442e-07,4.901234011662282e-36,8.684240648246712e-87,1.6801979380583576e-06
2025-07-04,0,sideways,0.9999983607158149,0.9999983607158149,2.9255782619526176e-07,2.180541974827628e-34,3.494789192923904e-82,1.3467263056517107e-06
2025-07-05,0,sideways,0.9999990202320784,0.9999990202320784,1.8482123424263072e-07,2.979835815648957e-37,8.012666880020254e-91,7.949465956977497e-07
2025-07-06,0,sideways,0.9999998034998236,0.9999998034998236,3.184876904822013e-08,2.1066296639594873e-44,2.137576612623469e-118,1.6465147596807159e-07
2025-07-07,0,sideways,0.9999999279345982,0.9999999279345982,4.665118175440508e-08,1.7269841210790707e-56,2.2570206211449447e-137,2.5414297617192953e-08
2025-07-08,0,sideways,0.9999981634442558,0.9999981634442558,4.209471757489096e-08,1.8924337198408524e-42,2.3976795798059127e-107,1.7944609667359357e-06
2025-07-09,0,sideways,0.9999988834458103,0.9999988834458103,1.1143107553843494e-07,4.954344241882523e-39,1.0249300178675922e-92,1.0051231558438034e-06
2025-07-10,0,sideways,0.999999372492281,0.999999372492281,2.6800420649548863e-08,2.901558128323645e-43,5.2897881770123495e-96,6.007074100037919e-07
2025-07-11,0,sideways,0.9999997677328153,0.9999997677328153,5.8849112393469296e-09,2.9027759990602813e-46,2.7166283157884122e-107,2.2638234311060794e-07
2025-07-12,0,sideways,0.9999998286136962,0.9999998286136962,3.141026972619285e-09,2.2321326622374965e-47,1.1590682626056372e-111,1.6824521850384106e-07
2025-07-13,0,sideways,0.9999998970158739,0.9999998970158739,3.8213235247275615e-09,7.493368087789787e-47,2.0636570652769205e-113,9.916285120901246e-08
2025-07-14,0,sideways,0.9999999093781794,0.9999999093781794,8.688849396147998e-09,1.2908044835011763e-44,3.086559935688977e-113,8.193286881053828e-08
2025-07-15,0,sideways,0.9999998752550787,0.9999998752550787,4.6350722884071415e-08,2.471669644706319e-40,2.4485581548764127e-106,7.839419514394001e-08
2025-07-16,0,sideways,0.9999998411144715,0.9999998411144715,1.5256818378077578e-07,1.912613659160424e-12,9.261562363268525e-30,6.315328121846161e-09
2025-07-17,0,sideways,0.9999951822237657,0.9999951822237657,1.0030914751510418e-07,5.938078183661002e-37,1.499411758246273e-16,4.717467000770427e-06
2025-07-18,0,sideways,0.999982451250893,0.999982451250893,3.954634833964793e-08,2.8723470487770908e-34,2.602262123472385e-12,1.750920022280695e-05
2025-07-19,0,sideways,0.9999975199583617,0.9999975199583617,1.9889970609868548e-09,6.526673132771034e-35,1.7346044872210524e-12,2.47805097516314e-06
2025-07-20,0,sideways,0.9999991885978142,0.9999991885978142,9.649025439730138e-10,4.551595860002424e-32,7.795508858385132e-14,8.104372682433605e-07
2025-07-21,0,sideways,0.9999995087522463,0.9999995087522463,2.1099289659215473e-12,6.822354950036027e-31,3.448654472909102e-32,4.91245546694906e-07
