date,state,regime,confidence,prob_sideways,prob_bull,prob_high-volatility,prob_low-volatility
2025-07-04,0,sideways,0.999999999982947,6.86849688317814e-113,1.7148823610167032e-11,0.0,4.1421921294652816e-21
2025-07-05,0,sideways,0.999999999981128,1.1657987758089352e-108,1.8858225991162742e-11,0.0,2.7889676930434703e-21
2025-07-06,0,sideways,0.9999996082531964,5.2902899727193393e-110,3.9174690290825165e-07,0.0,2.439507102002769e-24
2025-07-07,1,bull,0.8187827626135564,1.7436133514809067e-59,0.8187827626135564,0.0,1.1439009414023371e-42
2025-07-08,1,bull,0.9888051341331242,1.0874462606249379e-63,0.9888051341331242,0.0,8.456640360798012e-59
2025-07-09,1,bull,0.9995419333838668,3.6324275295383857e-68,0.9995419333838668,0.0,8.994968652611028e-71
2025-07-10,1,bull,0.9999082931115603,6.120412200620066e-70,0.9999082931115603,0.0,2.1156651307160124e-80
2025-07-11,1,bull,0.9999121318197128,1.4877927724760366e-70,0.9999121318197128,0.0,1.398029269472659e-82
2025-07-12,1,bull,0.9998900141479881,1.3210738222990958e-79,0.9998900141479881,0.0,3.482766676312953e-89
2025-07-13,1,bull,0.9999150860191321,8.699411517879164e-72,0.9999150860191321,0.0,7.750726926387803e-101
2025-07-14,1,bull,0.9998742007454569,7.969582848934095e-64,0.9998742007454569,0.0,5.964324141585855e-110
2025-07-15,1,bull,0.9999291537910328,1.1282889598740709e-38,0.9999291537910328,0.0,7.177113912813881e-104
2025-07-16,1,bull,0.9999465344063276,1.455527351489588e-49,0.9999465344063276,0.0,4.0617754460599833e-116
2025-07-17,1,bull,0.9999473237062481,1.2342032885835957e-90,0.9999473237062481,0.0,4.2649587729486126e-98
2025-07-18,1,bull,0.9959779421164586,2.3592026601060576e-37,0.9959779421164586,0.0,1.805726985365031e-60
2025-07-19,1,bull,0.9791757164726156,4.553036437580704e-25,0.9791757164726156,0.0,5.660298438948131e-47
2025-07-20,1,bull,0.9504898754260548,2.8811830031145255e-08,0.9504898754260548,0.0,1.0966285741390335e-34
2025-07-21,1,bull,0.9408944869599524,6.171733484336013e-09,0.9408944869599524,0.0,1.1570470030509608e-34
2025-07-22,1,bull,0.9275242728341135,5.775962582508089e-25,0.9275242728341135,0.0,8.735256175795239e-28
2025-07-23,1,bull,0.9143786444654334,2.756104988965717e-42,0.9143786444654334,0.0,6.013045531244379e-24
2025-07-24,1,bull,0.9228936499499439,1.764257095383984e-34,0.9228936499499439,0.0,1.439125008607561e-20
