date,state,regime,confidence,prob_bear,prob_bull,prob_high-volatility,prob_sideways,prob_low-volatility
2025-07-09,3,sideways,1.0,5.720010311211414e-16,1.9053892541068788e-14,1.9942732421811087e-19,1.0,6.111730083737805e-62
2025-07-10,3,sideways,1.0,3.088006282882389e-14,7.929018930978589e-14,9.870628987073221e-22,1.0,1.9800682402807543e-50
2025-07-11,3,sideways,0.9999999999834017,1.608528512265658e-11,5.635144461840339e-13,2.8363590619505683e-21,0.9999999999834017,3.188472555578544e-39
2025-07-12,3,sideways,0.9999999996448423,3.542839790483955e-10,9.396061290775122e-13,5.3217614898419085e-21,0.9999999996448423,1.6561963894084358e-37
2025-07-13,3,sideways,0.9999999995479811,4.500086587519799e-10,1.9839675544578442e-12,3.089689960997573e-20,0.9999999995479811,1.0121772794747068e-36
2025-07-14,3,sideways,0.9999999994963673,5.035444892417893e-10,3.703567901908015e-14,7.925366142875768e-21,0.9999999994963673,3.847341569672945e-41
2025-07-15,3,sideways,0.999999999979309,2.0707740376761882e-11,3.778698537376806e-15,7.195684052957036e-22,0.999999999979309,1.6176807401350954e-52
2025-07-16,3,sideways,0.9999999999997726,2.3604984549985797e-13,2.9642689326372395e-14,4.626754520148922e-25,0.9999999999997726,6.992131612619321e-63
2025-07-17,3,sideways,0.9999999999988631,7.478655566600364e-13,4.681106622073684e-13,9.550992479597215e-27,0.9999999999988631,6.86472753424497e-57
2025-07-18,3,sideways,0.9999999988497166,1.1363446730481113e-09,1.3926710980839678e-11,2.3517920714407746e-25,0.9999999988497166,2.09028584365978e-35
2025-07-19,3,sideways,0.9999995195806849,4.804075026988789e-07,1.1726371355137018e-11,4.4638364304762005e-25,0.9999995195806849,9.146579670237622e-29
2025-07-20,3,sideways,0.9999997541188197,2.4586522382286413e-07,1.5917081560560203e-11,4.656855466792921e-26,0.9999997541188197,2.095616516858336e-32
2025-07-21,3,sideways,0.9999994170979669,5.824652462940975e-07,4.36836560126469e-10,3.872604101457581e-23,0.9999994170979669,1.029909615122508e-41
2025-07-22,3,sideways,0.9999999984299848,2.0727754406492675e-11,1.5492481033268594e-09,7.504371251223278e-25,0.9999999984299848,2.4075437440625417e-43
2025-07-23,3,sideways,0.9999996902961836,1.6525347797201187e-12,3.097022143398754e-07,1.0076779981922634e-25,0.9999996902961836,5.207713871269409e-51
2025-07-24,3,sideways,0.9999973570819203,3.621150412518705e-15,2.642918119224711e-06,7.503556441372481e-27,0.9999973570819203,3.3603647364325566e-50
2025-07-25,3,sideways,0.9999019484871519,6.000131270346682e-15,9.80515128282912e-05,8.562550023423478e-30,0.9999019484871519,6.25740329844738e-46
2025-07-26,3,sideways,0.9766381047177041,0.009007044379529419,0.013633880798456953,1.9460255623398367e-30,0.9766381047177041,0.0007209701043383127
2025-07-27,0,bear,0.9992271889704711,0.9992271889704711,0.0006537845280186373,5.43595756418055e-26,1.6274002474770098e-05,0.00010275249911703922
2025-07-28,0,bear,0.999947118248597,0.999947118248597,5.2321898424075054e-05,5.685061272877467e-26,1.9141199364635247e-09,5.579388752806385e-07
2025-07-29,0,bear,0.9963163459803599,0.9963163459803599,2.006529996337352e-06,1.873425471332233e-27,1.4662248443850457e-09,0.0036816460235281167
2025-07-30,0,bear,0.7102125619208256,0.7102125619208256,1.5419273210000166e-06,3.2090652456530973e-31,8.227336922150134e-11,0.2897858960696835
2025-07-31,4,low-volatility,0.8413677113628781,0.15863205731393187,2.3132109552404617e-07,3.80615427769407e-33,2.1655974325814788e-12,0.8413677113628781
2025-08-01,4,low-volatility,0.9849539369806852,0.015046062617106375,4.0217601213833236e-10,1.4438109438367694e-35,9.968726696470134e-15,0.9849539369806852
2025-08-02,4,low-volatility,0.9999256774287152,7.432256599620643e-05,5.353889468296431e-12,2.7950899091596816e-40,4.2608300572766925e-18,0.9999256774287152
2025-08-03,4,low-volatility,0.9999939755434325,6.024455716185108e-06,8.143200839522108e-13,6.421843610961753e-43,4.256616408751359e-21,0.9999939755434325
2025-08-04,4,low-volatility,0.9999965357368161,3.4642625277782316e-06,7.442561565778818e-13,2.3290502073459723e-45,8.976478108571463e-23,0.9999965357368161
2025-08-05,4,low-volatility,0.9999987707195312,1.2292803673536467e-06,1.9001067897898283e-14,1.1277846863086961e-45,2.5811849023077126e-24,0.9999987707195312
2025-08-06,4,low-volatility,0.999998595038128,1.4049618749581474e-06,6.247159076054748e-16,1.1965747377339644e-50,9.851944894581714e-26,0.999998595038128
2025-08-07,4,low-volatility,0.9999990466228607,9.533772303853188e-07,1.4335366665324063e-16,7.530778566420592e-53,9.093968879795134e-28,0.9999990466228607
2025-08-08,4,low-volatility,0.9999974576115196,2.5423884887931334e-06,1.2806655241545032e-20,1.5256173205785653e-52,2.031878863421796e-28,0.9999974576115196
2025-08-09,4,low-volatility,0.9995600770634254,0.00043992293654713106,1.8123297680701635e-20,4.354700480235353e-60,6.357515232993887e-27,0.9995600770634254
2025-08-10,4,low-volatility,0.99999861677252,1.3832275154054824e-06,1.8472937890301307e-17,1.5410015055169072e-58,1.2499813451403253e-27,0.99999861677252
2025-08-11,4,low-volatility,0.9999990134652171,9.865256974159287e-07,9.182565653803488e-12,2.729377021175723e-54,7.86230332269861e-26,0.9999990134652171
2025-08-12,4,low-volatility,0.9999640859392483,3.5914059819618967e-05,9.884281430043506e-13,9.44046797722706e-48,3.27431390027805e-25,0.9999640859392483
2025-08-13,4,low-volatility,0.9999688505217215,3.1149477693441806e-05,6.771256026701352e-13,3.9716181550046413e-50,3.0065183345370787e-22,0.9999688505217215
2025-08-14,4,low-volatility,0.9999805948346138,1.940512348910624e-05,4.179212003290083e-11,7.20549653787339e-53,2.1781524194482335e-20,0.9999805948346138
2025-08-15,4,low-volatility,0.9998901482898493,0.00010985166141209106,4.868163642842546e-11,8.338712942039631e-50,1.0366238509346031e-19,0.9998901482898493
2025-08-16,4,low-volatility,0.9941876245073494,0.005812374784218298,7.084278903308249e-10,1.1750945260408613e-44,9.960027597415395e-19,0.9941876245073494
2025-08-17,0,bear,0.9999999995970938,0.9999999995970938,3.764330585751225e-10,5.507916749900781e-44,7.024033743886862e-14,2.6483591047746898e-11
2025-08-18,0,bear,0.9999999999995453,0.9999999999995453,2.023066104625493e-18,5.631790955164973e-47,3.6641012195039553e-13,1.1544550285472786e-82
2025-08-19,0,bear,0.9999999996837232,0.9999999996837232,1.1991777483578797e-13,1.26610791410164e-46,3.1611500652456115e-10,1.510123300827234e-31
2025-08-20,0,bear,0.9999999999681677,0.9999999999681677,4.603172178307721e-16,6.708524937153045e-44,3.1740339141544465e-11,1.703392535740843e-30
2025-08-21,0,bear,0.9999999999979536,0.9999999999979536,3.1023174503985285e-15,1.7425275775232205e-45,2.1011753153917663e-12,2.8572314843135285e-33
2025-08-22,0,bear,0.9999999999986358,0.9999999999986358,2.5057411308178834e-19,8.222436940636457e-45,1.416088677543306e-12,2.084956413339038e-15
2025-08-23,0,bear,1.0,1.0,8.29591724315706e-18,3.787149564791975e-46,7.246543577625427e-15,1.0067468408720876e-14
2025-08-24,0,bear,1.0,1.0,3.923766048573376e-15,1.585205320742923e-42,1.5872221561110054e-14,9.265321369833952e-16
2025-08-25,0,bear,0.9999999999995453,0.9999999999995453,2.6376896904740163e-16,1.4254287073183827e-41,1.1278425370125662e-14,4.914771752224674e-13
2025-08-26,0,bear,0.8955982742884816,0.8955982742884816,8.186278671601971e-21,4.088182519555098e-47,1.9424096265473726e-16,0.104401725711612
2025-08-27,4,low-volatility,0.9983329980674198,0.0016670019325351734,3.4145970253767616e-23,8.121609213179682e-57,2.1117974096889365e-21,0.9983329980674198
2025-08-28,4,low-volatility,0.9999997748791682,2.2512080005380166e-07,2.4466684900360152e-30,1.6423716994295275e-63,3.436395878134098e-28,0.9999997748791682
2025-08-29,4,low-volatility,0.9999999979793301,2.020756397871253e-09,1.7074124776041461e-32,1.1321729743030912e-70,2.241017418309644e-35,0.9999999979793301
2025-08-30,4,low-volatility,0.9999999978015239,2.198539755686653e-09,8.463259562280113e-32,5.3597216433320055e-73,2.5472733447908908e-37,0.9999999978015239
2025-08-31,4,low-volatility,0.9999999991605364,8.394913973986755e-10,3.754313659656395e-29,6.261664600539156e-65,5.0520862382120265e-37,0.9999999991605364
