date,state,regime,confidence,prob_sideways,prob_bear,prob_bull
2025-06-26,0,sideways,1.0,1.0,0.0,3.5340906647095603e-258
2025-06-27,0,sideways,1.0,1.0,0.0,3.159557467670627e-258
2025-06-28,0,sideways,1.0,1.0,0.0,3.303163340233018e-258
2025-06-29,0,sideways,1.0,1.0,0.0,2.4594836119666297e-257
2025-06-30,0,sideways,1.0,1.0,0.0,1.4777916522618073e-256
2025-07-01,0,sideways,1.0,1.0,0.0,2.549765568475381e-257
2025-07-02,0,sideways,1.0,1.0,0.0,7.9724960579134225e-258
2025-07-03,0,sideways,1.0,1.0,0.0,1.8119267581987117e-257
2025-07-04,0,sideways,1.0,1.0,0.0,4.8282627387177494e-259
2025-07-05,0,sideways,1.0,1.0,0.0,4.244834621095935e-258
2025-07-06,0,sideways,1.0,1.0,0.0,2.395785606496918e-256
2025-07-07,0,sideways,1.0,1.0,0.0,2.5460895391424564e-255
2025-07-08,0,sideways,1.0,1.0,0.0,2.717998672780755e-255
2025-07-09,0,sideways,1.0,1.0,0.0,2.427706416075557e-255
2025-07-10,0,sideways,1.0,1.0,0.0,2.0923572314952404e-255
2025-07-11,0,sideways,1.0,1.0,0.0,3.1451318330093468e-255
2025-07-12,0,sideways,1.0,1.0,0.0,2.2420870344778796e-255
2025-07-13,0,sideways,1.0,1.0,0.0,2.3697860456383847e-257
2025-07-14,0,sideways,1.0,1.0,0.0,8.213305860200069e-258
2025-07-15,0,sideways,1.0,1.0,0.0,1.0871534400495181e-257
2025-07-16,0,sideways,1.0,1.0,0.0,2.5009425313209694e-261
2025-07-17,0,sideways,1.0,1.0,0.0,1.9517469223889301e-261
2025-07-18,0,sideways,1.0,1.0,0.0,4.358363299023362e-261
2025-07-19,0,sideways,1.0,1.0,0.0,3.4731875540382185e-261
2025-07-20,0,sideways,1.0,1.0,0.0,8.049118434076715e-261
2025-07-21,0,sideways,1.0,1.0,0.0,6.106522177200153e-262
2025-07-22,0,sideways,1.0,1.0,0.0,8.678736899760338e-266
2025-07-23,0,sideways,1.0,1.0,0.0,3.189413395610876e-262
2025-07-24,0,sideways,1.0,1.0,0.0,2.039461732789532e-261
2025-07-25,0,sideways,1.0,1.0,0.0,1.7016469457253793e-261
2025-07-26,0,sideways,1.0,1.0,0.0,1.0149130600329007e-261
2025-07-27,0,sideways,1.0,1.0,0.0,3.707796528924542e-269
2025-07-28,0,sideways,1.0,1.0,0.0,5.303509647043341e-267
2025-07-29,0,sideways,1.0,1.0,0.0,7.433254274958812e-272
2025-07-30,0,sideways,1.0,1.0,0.0,1.2854656253010277e-263
2025-07-31,0,sideways,1.0,1.0,0.0,1.0702869080960851e-263
2025-08-01,0,sideways,1.0,1.0,0.0,1.4443904080935567e-263
2025-08-02,0,sideways,1.0,1.0,0.0,1.2571128049978824e-263
2025-08-03,0,sideways,1.0,1.0,0.0,3.9834182975814375e-263
2025-08-04,0,sideways,1.0,1.0,0.0,1.6885459751013514e-255
2025-08-05,0,sideways,1.0,1.0,0.0,3.8621817331820953e-258
2025-08-06,0,sideways,1.0,1.0,0.0,1.4906309329194828e-258
2025-08-07,0,sideways,1.0,1.0,0.0,3.4812169442823246e-259
2025-08-08,0,sideways,1.0,1.0,0.0,1.1391491971488134e-258
2025-08-09,0,sideways,1.0,1.0,0.0,1.4723077525563015e-258
2025-08-10,0,sideways,1.0,1.0,0.0,8.030404484732536e-259
2025-08-11,0,sideways,1.0,1.0,0.0,4.864834892785259e-259
2025-08-12,0,sideways,1.0,1.0,0.0,8.765720021855125e-258
2025-08-13,0,sideways,1.0,1.0,0.0,4.347152576504655e-258
2025-08-14,0,sideways,1.0,1.0,0.0,3.7993475911542393e-258
2025-08-15,0,sideways,1.0,1.0,0.0,7.356784396646152e-258
2025-08-16,0,sideways,1.0,1.0,0.0,6.684394302868821e-258
2025-08-17,0,sideways,1.0,1.0,0.0,3.865351691111782e-257
2025-08-18,0,sideways,1.0,1.0,0.0,2.5203395395142874e-258
2025-08-19,0,sideways,1.0,1.0,0.0,4.524712012005963e-258
2025-08-20,0,sideways,1.0,1.0,0.0,4.701872646691729e-258
2025-08-21,0,sideways,1.0,1.0,0.0,1.4058006330865045e-256
2025-08-22,0,sideways,1.0,1.0,0.0,5.353290929810848e-255
2025-08-23,0,sideways,1.0,1.0,0.0,1.0695542861979516e-256
2025-08-24,0,sideways,1.0,1.0,0.0,3.2924670222076256e-255
2025-08-25,0,sideways,1.0,1.0,0.0,1.5559255066000832e-254
2025-08-26,0,sideways,1.0,1.0,0.0,7.707924998025597e-254
2025-08-27,0,sideways,1.0,1.0,0.0,6.0756533595208635e-254
2025-08-28,0,sideways,1.0,1.0,0.0,5.488532461444619e-253
2025-08-29,0,sideways,1.0,1.0,0.0,1.1464266996383683e-254
2025-08-30,0,sideways,1.0,1.0,0.0,1.6205274072383974e-254
2025-08-31,0,sideways,1.0,1.0,0.0,5.150027675463142e-255
2025-09-01,0,sideways,1.0,1.0,0.0,1.4998098864909214e-255
2025-09-02,0,sideways,1.0,1.0,0.0,1.7539896782318982e-255
2025-09-03,0,sideways,1.0,1.0,0.0,3.1665670480103415e-256
2025-09-04,0,sideways,1.0,1.0,0.0,9.469359212632181e-257
2025-09-05,0,sideways,1.0,1.0,0.0,2.698066510532302e-258
2025-09-06,0,sideways,1.0,1.0,0.0,4.432051418767889e-258
2025-09-07,0,sideways,1.0,1.0,0.0,1.308324210525652e-258
2025-09-08,0,sideways,1.0,1.0,0.0,2.805064384934921e-260
2025-09-09,0,sideways,1.0,1.0,0.0,8.731686820408154e-258
2025-09-10,0,sideways,1.0,1.0,0.0,1.1291439428854708e-260
2025-09-11,0,sideways,1.0,1.0,0.0,1.4519888446130554e-261
2025-09-12,0,sideways,1.0,1.0,0.0,1.3893896734528252e-264
2025-09-13,0,sideways,1.0,1.0,0.0,6.176247622997633e-264
2025-09-14,0,sideways,1.0,1.0,0.0,4.404223917673098e-264
2025-09-15,0,sideways,1.0,1.0,0.0,2.594834941297421e-260
2025-09-16,0,sideways,1.0,1.0,0.0,1.1454306338793008e-261
2025-09-17,0,sideways,1.0,1.0,0.0,9.483104714160754e-260
2025-09-18,0,sideways,1.0,1.0,0.0,1.1150624738572524e-260
2025-09-19,0,sideways,1.0,1.0,0.0,1.8989759271650238e-260
2025-09-20,0,sideways,1.0,1.0,0.0,4.358348390454191e-261
2025-09-21,0,sideways,1.0,1.0,0.0,3.7157669493343484e-261
2025-09-22,0,sideways,1.0,1.0,0.0,2.2744475072398995e-262
2025-09-23,0,sideways,1.0,1.0,0.0,1.0995130167280663e-260
2025-09-24,0,sideways,1.0,1.0,0.0,2.3658222284975174e-257
2025-09-25,0,sideways,1.0,1.0,0.0,9.54661133601171e-257
2025-09-26,0,sideways,1.0,1.0,0.0,2.1080664469875787e-256
2025-09-27,0,sideways,1.0,1.0,0.0,1.6999755183504124e-256
2025-09-28,0,sideways,1.0,1.0,0.0,5.9847497433700936e-257
2025-09-29,0,sideways,1.0,1.0,0.0,6.84936915047721e-256
2025-09-30,0,sideways,1.0,1.0,0.0,6.94982243627621e-255
2025-10-01,0,sideways,1.0,1.0,0.0,3.2953845871999986e-254
2025-10-02,0,sideways,1.0,1.0,0.0,1.1127234645008686e-253
2025-10-03,0,sideways,1.0,1.0,0.0,1.624766037857468e-253
2025-10-04,0,sideways,1.0,1.0,0.0,2.2791365424081925e-253
2025-10-05,0,sideways,1.0,1.0,0.0,2.338862024848802e-254
2025-10-06,0,sideways,1.0,1.0,0.0,6.0942123909457476e-254
2025-10-07,0,sideways,1.0,1.0,0.0,5.034619577867813e-254
2025-10-08,0,sideways,1.0,1.0,0.0,8.725396736078019e-254
2025-10-09,0,sideways,1.0,1.0,0.0,1.1962157531656732e-253
2025-10-10,0,sideways,1.0,1.0,0.0,4.208762981167664e-266
2025-10-11,0,sideways,1.0,1.0,0.0,1.7591120471129804e-271
2025-10-12,0,sideways,1.0,1.0,0.0,3.425416549043378e-271
2025-10-13,0,sideways,1.0,1.0,0.0,2.688635418774716e-262
2025-10-14,0,sideways,1.0,1.0,0.0,8.962164254065426e-265
2025-10-15,0,sideways,1.0,1.0,0.0,1.2302771864213589e-265
2025-10-16,0,sideways,1.0,1.0,0.0,3.515129019974291e-264
2025-10-17,0,sideways,1.0,1.0,0.0,2.324948005134025e-264
2025-10-18,0,sideways,1.0,1.0,0.0,2.174875242968551e-264
2025-10-19,0,sideways,1.0,1.0,0.0,6.563100666781477e-264
2025-10-20,0,sideways,1.0,1.0,0.0,5.955439283604267e-259
2025-10-21,0,sideways,1.0,1.0,0.0,3.2774126019369534e-260
2025-10-22,0,sideways,1.0,1.0,0.0,1.8674515245334746e-259
2025-10-23,0,sideways,1.0,1.0,0.0,1.2509167435370536e-259
2025-10-24,0,sideways,1.0,1.0,0.0,3.0937292749002956e-259
2025-10-25,0,sideways,1.0,1.0,0.0,5.5908786846799475e-260
2025-10-26,0,sideways,1.0,1.0,0.0,3.010089968330407e-260
2025-10-27,0,sideways,1.0,1.0,0.0,5.4064933011369024e-260
2025-10-28,0,sideways,1.0,1.0,0.0,3.3080991253883925e-261
2025-10-29,0,sideways,1.0,1.0,0.0,8.754859247609592e-264
2025-10-30,0,sideways,1.0,1.0,0.0,9.007390014826363e-257
2025-10-31,0,sideways,1.0,1.0,0.0,5.2954257836122037e-256
2025-11-01,0,sideways,1.0,1.0,0.0,6.782546820756296e-256
2025-11-02,0,sideways,1.0,1.0,0.0,4.198279690923977e-255
2025-11-03,0,sideways,1.0,1.0,0.0,1.1713592724470768e-254
2025-11-04,0,sideways,1.0,1.0,0.0,3.121532558976824e-255
2025-11-05,0,sideways,1.0,1.0,0.0,9.507587147820903e-255
2025-11-06,0,sideways,1.0,1.0,0.0,1.855282939625817e-255
2025-11-07,0,sideways,1.0,1.0,0.0,8.344694552635642e-256
2025-11-08,0,sideways,1.0,1.0,0.0,5.1247970155567646e-256
2025-11-09,0,sideways,1.0,1.0,0.0,5.698555769024438e-257
2025-11-10,0,sideways,1.0,1.0,0.0,1.3243148365646348e-254
2025-11-11,0,sideways,1.0,1.0,0.0,1.2782101287411601e-255
2025-11-12,0,sideways,1.0,1.0,0.0,6.853639594312883e-256
2025-11-13,0,sideways,1.0,1.0,0.0,1.4363485211685246e-256
2025-11-14,0,sideways,1.0,1.0,0.0,4.592191368486405e-257
2025-11-15,0,sideways,1.0,1.0,0.0,2.3185866410519044e-257
2025-11-16,0,sideways,1.0,1.0,0.0,1.2428829992808275e-259
2025-11-17,0,sideways,1.0,1.0,0.0,3.974498538236695e-259
2025-11-18,0,sideways,1.0,1.0,0.0,4.000217193604836e-257
2025-11-19,0,sideways,1.0,1.0,0.0,1.881628346665615e-257
2025-11-20,0,sideways,1.0,1.0,0.0,7.727817691905613e-258
2025-11-21,0,sideways,1.0,1.0,0.0,1.3072193972069873e-257
2025-11-22,0,sideways,1.0,1.0,0.0,5.37333751619415e-258
2025-11-23,0,sideways,1.0,1.0,0.0,1.8024766383987703e-257
2025-11-24,0,sideways,1.0,1.0,0.0,2.4670169231953884e-254
2025-11-25,0,sideways,1.0,1.0,0.0,5.170958703663685e-256
2025-11-26,0,sideways,1.0,1.0,0.0,2.725676974491893e-257
2025-11-27,0,sideways,1.0,1.0,0.0,9.72980048585794e-258
2025-11-28,0,sideways,1.0,1.0,0.0,1.0614899197677026e-257
2025-11-29,0,sideways,1.0,1.0,0.0,1.0109152417050387e-257
2025-11-30,0,sideways,1.0,1.0,0.0,3.7299967647586315e-258
2025-12-01,0,sideways,1.0,1.0,0.0,5.01028586985807e-257
2025-12-02,0,sideways,1.0,1.0,0.0,1.2569639216738462e-257
2025-12-03,0,sideways,1.0,1.0,0.0,3.371367334340976e-255
2025-12-04,0,sideways,1.0,1.0,0.0,9.700004718761658e-257
2025-12-05,0,sideways,1.0,1.0,0.0,8.936212087678594e-257
2025-12-06,0,sideways,1.0,1.0,0.0,5.980113951676119e-257
2025-12-07,0,sideways,1.0,1.0,0.0,1.9323637241541678e-256
2025-12-08,0,sideways,1.0,1.0,0.0,6.000524415384558e-256
2025-12-09,0,sideways,1.0,1.0,0.0,5.904529024162435e-256
2025-12-10,0,sideways,1.0,1.0,0.0,1.832533301874138e-255
2025-12-11,0,sideways,1.0,1.0,0.0,1.2264546294395793e-255
2025-12-12,0,sideways,1.0,1.0,0.0,8.311468892325068e-256
2025-12-13,0,sideways,1.0,1.0,0.0,1.0691412269996961e-256
2025-12-14,0,sideways,1.0,1.0,0.0,7.004458579447564e-256
2025-12-15,0,sideways,1.0,1.0,0.0,6.231269308632459e-256
2025-12-16,0,sideways,1.0,1.0,0.0,1.03583117168169e-255
2025-12-17,0,sideways,1.0,1.0,0.0,8.392038874938764e-256
2025-12-18,0,sideways,1.0,1.0,0.0,6.895453773266178e-256
2025-12-19,0,sideways,1.0,1.0,0.0,1.1784013055128684e-255
2025-12-20,0,sideways,1.0,1.0,0.0,4.022602490089738e-256
2025-12-21,0,sideways,1.0,1.0,0.0,3.6638577364993037e-256
2025-12-22,0,sideways,1.0,1.0,0.0,2.1342908759853636e-256
2025-12-23,0,sideways,1.0,1.0,0.0,5.209232038909278e-259
