date,state,regime,confidence,prob_sideways,prob_bear,prob_high-volatility,prob_bull,prob_low-volatility
2025-04-24,2,high-volatility,1.0,4.396160293080684e-191,2.5883399354030303e-47,1.0,1.1888820606360091e-231,5.686616440814379e-109
2025-04-25,2,high-volatility,1.0,1.3755006688004733e-192,2.1645203332298303e-49,1.0,5.9904965339172966e-201,1.1314748320522368e-80
2025-04-26,2,high-volatility,1.0,7.538314008112276e-195,4.428578432943352e-67,1.0,2.9795966120755377e-207,2.540350876868309e-81
2025-04-27,2,high-volatility,1.0,1.851009237226777e-91,8.423116998791088e-45,1.0,2.2804056488905698e-138,3.0397784275361543e-100
2025-04-28,2,high-volatility,1.0,8.041200572283144e-64,2.50675589672079e-28,1.0,7.581324574758087e-110,5.866639492406785e-77
2025-04-29,1,bear,0.9999999888077582,2.1558768889105157e-30,0.9999999888077582,1.1192344283491248e-08,4.382491355935281e-133,2.0271841226477226e-61
2025-04-30,0,sideways,0.9999991491182737,0.9999991491182737,8.508818372080259e-07,9.659316423719138e-38,3.5948142194475505e-169,6.036172699071734e-43
2025-05-01,0,sideways,1.0,1.0,2.161745276898866e-34,5.277408079790044e-51,2.2654823961025883e-270,4.826171881663736e-49
2025-05-02,0,sideways,1.0,1.0,6.886036516651008e-39,1.8996607631794434e-57,3.254222578284171e-275,2.65672288962331e-54
2025-05-03,0,sideways,1.0,1.0,1.4926237655799173e-50,8.086318767204011e-67,3.633155082350237e-295,1.375059177148246e-63
2025-05-04,0,sideways,1.0,1.0,6.1904185620549865e-62,1.086463407001665e-77,3.334904e-318,2.9178062228626246e-70
2025-05-05,0,sideways,1.0,1.0,2.3374249417277703e-64,2.1860878262501108e-90,0.0,4.510538205206725e-77
2025-05-06,0,sideways,1.0,1.0,7.021085441348636e-65,5.820744018020517e-104,0.0,4.671775681906705e-80
2025-05-07,0,sideways,1.0,1.0,7.066810617709522e-65,8.225801299202294e-115,0.0,1.8623326129313264e-84
2025-05-08,0,sideways,1.0,1.0,1.9678778253357503e-60,2.891902241391464e-117,0.0,1.2905156863723665e-81
2025-05-09,0,sideways,1.0,1.0,7.078329324682603e-56,1.0997197242958528e-112,0.0,2.897479700871316e-78
2025-05-10,0,sideways,1.0,1.0,4.46796258725954e-52,8.176953539099727e-108,0.0,4.4810204064256475e-72
2025-05-11,0,sideways,1.0,1.0,8.614156598558184e-48,9.700240460522615e-103,3.995205138113861e-306,1.8446571435712803e-64
2025-05-12,0,sideways,1.0,1.0,1.225482962726285e-43,7.204859595499981e-91,5.832885601889455e-237,9.999023490280976e-51
2025-05-13,0,sideways,1.0,1.0,2.3867002565287224e-26,5.302349440835094e-85,7.855979359773896e-168,8.827877919267951e-38
2025-05-14,0,sideways,1.0,1.0,1.731139214251512e-22,8.843495508497738e-50,6.391680238270947e-116,5.1293977906629356e-27
2025-05-15,0,sideways,0.999999750141373,0.999999750141373,2.498586249838196e-07,5.483076604230809e-38,5.511901324466229e-66,3.5305539707151527e-15
2025-05-16,1,bear,0.9989841346033707,0.001013233280430692,0.9989841346033707,1.1990071483392407e-22,1.4322633562806983e-23,2.6321162737921793e-06
2025-05-17,1,bear,0.9999999958063199,5.137589606606942e-10,0.9999999958063199,3.424323603547827e-16,1.600331955410352e-17,3.6800237103660473e-09
2025-05-18,1,bear,0.9999999999993179,4.5193911719124386e-13,0.9999999999993179,2.9063572160030235e-15,1.1397024025529966e-16,2.2989505471293387e-13
2025-05-19,1,bear,0.9999999999995453,5.135848332623431e-13,0.9999999999995453,2.8448247579415883e-16,1.0466405252073325e-19,1.583898194262963e-16
2025-05-20,1,bear,0.9999999999997726,1.3354497088722664e-13,0.9999999999997726,1.8460821448875626e-17,4.902379460219246e-25,3.8740237629127416e-18
2025-05-21,1,bear,1.0,6.815717834478195e-14,1.0,1.843371571713274e-18,1.111732807113299e-24,5.611056998207427e-19
2025-05-22,1,bear,0.9999999999649845,3.499962182545285e-11,0.9999999999649845,6.419679912488965e-21,6.448459611149101e-16,3.444105935723716e-18
2025-05-23,1,bear,0.9999999998553903,1.4460251999607744e-10,0.9999999998553903,7.84632086103328e-21,3.5287947297168887e-15,2.8587369465279527e-15
2025-05-24,1,bear,0.9999999998674411,1.3256580056168414e-10,0.9999999998674411,1.3477776399255673e-20,1.410504697925063e-14,1.1052315806777564e-14
2025-05-25,1,bear,0.9999999997605755,2.3924988797283473e-10,0.9999999997605755,2.6789038210644014e-20,6.165014101662177e-14,1.936878109543004e-14
2025-05-26,1,bear,0.9999999999497504,4.7946564984434795e-11,0.9999999999497504,2.937994463324415e-20,2.1658399794733653e-12,6.537434475154708e-14
2025-05-27,1,bear,0.9999997533668952,5.542364262121777e-16,0.9999997533668952,2.3039307025322843e-14,2.4663309572087695e-07,9.947071809361401e-16
2025-05-28,1,bear,0.9999946800169794,2.4060621153683927e-19,0.9999946800169794,6.6569248215452315e-12,5.319976092945897e-06,3.64462959377765e-13
2025-05-29,1,bear,0.9999910396985693,4.29956902701809e-16,0.9999910396985693,6.831873191787673e-12,8.959965616089494e-06,3.290146862117056e-10
2025-05-30,1,bear,0.9999772099122683,1.7251004577516204e-13,0.9999772099122683,7.761350099423402e-12,2.2790070757005124e-05,9.002430845140644e-12
2025-05-31,1,bear,0.9998798894677833,5.559698747038911e-11,0.9998798894677833,5.8529112473381685e-18,0.00012010934045151854,1.1361741169906441e-09
2025-06-01,0,sideways,0.9998569250656739,0.9998569250656739,2.2964472735452515e-05,5.147526825189966e-28,8.865509394845267e-17,0.0001201104616458424
2025-06-02,0,sideways,0.8288833365232114,0.8288833365232114,1.5661919071961395e-17,6.2847743325811464e-49,2.356871152322078e-17,0.17111666347681287
2025-06-03,4,low-volatility,0.9970006720611858,0.0029993279387701814,4.058457907249824e-40,4.958230081103892e-44,8.830650254010762e-24,0.9970006720611858
2025-06-04,4,low-volatility,0.9999999999997726,1.1931111588143628e-13,3.1231825497304975e-41,1.8972215712188423e-46,8.586059952862998e-17,0.9999999999997726
2025-06-05,4,low-volatility,1.0,9.014678864620335e-14,2.369581529535068e-41,1.3580876159825588e-44,1.8197245862038778e-26,1.0
2025-06-06,4,low-volatility,0.9999999999995453,5.431537119852465e-13,1.587925790355369e-39,1.8613377514625002e-43,2.3210350225608868e-27,0.9999999999995453
2025-06-07,4,low-volatility,0.9999999999986358,1.3671274239918613e-12,4.874557432220283e-38,3.3576445842970173e-43,6.943509958424608e-27,0.9999999999986358
2025-06-08,4,low-volatility,0.9999999999986358,1.360136362487545e-12,1.6733985728507658e-37,2.511396003093975e-40,6.634204683951314e-26,0.9999999999986358
2025-06-09,4,low-volatility,1.0,6.6681319625731935e-15,6.432697115124941e-38,3.381167906551391e-36,9.060950390075552e-24,1.0
2025-06-10,4,low-volatility,1.0,1.3492334766510754e-15,4.746727613560664e-41,6.7975829354557e-32,2.113083810615707e-25,1.0
2025-06-11,4,low-volatility,1.0,3.583466192418567e-15,2.8460980765508285e-42,8.69892476267022e-28,1.0486535843470378e-27,1.0
2025-06-12,4,low-volatility,1.0,2.1322143676382526e-15,4.9750657392460785e-37,6.704063389579977e-24,4.52704828884743e-26,1.0
2025-06-13,4,low-volatility,0.999999993933443,6.066579361287303e-09,1.8658979374649913e-25,6.741553680049519e-21,1.5897237780604598e-24,0.999999993933443
2025-06-14,4,low-volatility,0.99999947337815,5.266219545715711e-07,4.86571403657612e-20,6.490082977993289e-20,3.0259746400047505e-18,0.99999947337815
2025-06-15,4,low-volatility,0.9999993350406776,6.649594264908593e-07,1.9754581567466477e-19,1.6178382044999222e-18,6.341865284038658e-16,0.9999993350406776
2025-06-16,4,low-volatility,0.9999997087116268,2.912880463599342e-07,5.88488076105542e-18,5.4242710575688465e-17,3.629549138165581e-13,0.9999997087116268
2025-06-17,4,low-volatility,0.9999947442826721,5.255716831372928e-06,3.9934915024850413e-13,6.1537960916667375e-15,2.0446776713090617e-13,0.9999947442826721
2025-06-18,4,low-volatility,0.9979827910389295,0.0020172077253519196,1.233949142146846e-09,1.6570003606649805e-12,6.794397964135105e-15,0.9979827910389295
2025-06-19,4,low-volatility,0.889627360335167,0.11037263764688908,1.9981169735337868e-09,1.9765405094153575e-11,1.4597536822305115e-16,0.889627360335167
2025-06-20,4,low-volatility,0.6068506648563324,0.39314928693933116,4.813318716230517e-08,7.118599673188485e-11,2.4385404624448356e-17,0.6068506648563324
2025-06-21,0,sideways,0.9193002587441924,0.9193002587441924,1.0673435429228232e-07,6.943651645569174e-12,1.902297117716065e-18,0.08069963451447895
2025-06-22,0,sideways,0.994840485280261,0.994840485280261,2.4048669867829922e-08,2.780344981925403e-11,2.747314953757588e-22,0.005159490643267367
2025-06-23,0,sideways,0.9999992962850885,0.9999992962850885,6.807321209287725e-07,1.08374850099032e-12,2.0326981264746795e-11,2.296148414617231e-08
2025-06-24,3,bull,0.9999969325596546,5.825899379208359e-15,3.067379113745505e-06,5.373830207583824e-13,0.9999969325596546,6.073224755916705e-11
2025-06-25,3,bull,0.9999998859566469,3.0649604365624807e-19,1.1404282656121161e-07,2.0856648634741623e-17,0.9999998859566469,5.718768712093023e-13
2025-06-26,3,bull,0.9999999940255293,1.0969665025744664e-19,5.973068390061846e-09,1.2208515502489578e-18,0.9999999940255293,1.3783068767573226e-12
2025-06-27,3,bull,0.9999999995100097,8.141869859634203e-21,4.892100086823876e-10,8.105658065413918e-20,0.9999999995100097,8.438672999902141e-13
2025-06-28,3,bull,0.9999999999524789,4.929411781926256e-22,4.7277764201315307e-11,5.024625059148984e-21,0.9999999999524789,3.367514156499172e-13
2025-06-29,3,bull,0.9999999999965894,1.525377076714887e-25,3.37814438419392e-12,1.0369820242689281e-22,0.9999999999965894,8.153504833540326e-15
2025-06-30,3,bull,1.0,1.1751372165611163e-27,1.0244093949166305e-13,2.6087721415434987e-24,1.0,2.912364860735497e-15
2025-07-01,3,bull,1.0,3.17532488787238e-28,4.735230213093347e-15,1.6441039920220846e-25,1.0,6.392043993648568e-16
2025-07-02,3,bull,1.0,1.862050075911469e-32,6.596544179361085e-16,4.408571766581391e-29,1.0,5.640992623226398e-20
2025-07-03,3,bull,1.0,7.409751988927262e-61,6.792203668054467e-20,6.0969151214663075e-37,1.0,3.0240729863081386e-27
2025-07-04,3,bull,1.0,1.0537824486231733e-64,9.048462874047391e-25,8.99470195270586e-42,1.0,2.784748502658212e-26
2025-07-05,3,bull,1.0,4.7334844044346465e-64,2.786461965422694e-26,5.733614648808775e-44,1.0,8.641884383760896e-29
2025-07-06,3,bull,1.0,3.4073623287710715e-85,8.64272334483203e-29,3.473935974106026e-53,1.0,2.730581085185934e-33
