date,state,regime,confidence,prob_bull,prob_high-volatility,prob_bear,prob_low-volatility
2025-05-17,0,bull,1.0,1.0,1.3581156551675912e-33,4.95319108714121e-17,1.578586974607272e-59
2025-05-18,0,bull,1.0,1.0,4.506148512006808e-33,1.3239307197303865e-18,5.080965895040322e-33
2025-05-19,0,bull,1.0,1.0,1.7944750781096372e-31,2.837768953966361e-17,8.821538276919421e-45
2025-05-20,0,bull,0.9999999999995453,0.9999999999995453,2.3294955280790243e-30,3.5734469202817166e-13,1.2042761565007609e-52
2025-05-21,0,bull,0.9999999999993179,0.9999999999993179,5.401729790344187e-28,7.040013474310392e-13,2.6990131332112628e-83
2025-05-22,0,bull,0.9999999999990905,0.9999999999990905,1.4037533290182852e-20,8.350552879253026e-13,2.7609537301848065e-19
2025-05-23,0,bull,0.9999999944443516,0.9999999944443516,6.005156062070882e-14,5.555496427902411e-09,1.0972745084971645e-25
2025-05-24,3,low-volatility,0.999995489684519,6.931945843653301e-10,6.1135316239487785e-09,4.503508838754798e-06,0.999995489684519
2025-05-25,1,high-volatility,0.9999999999272404,6.119754183711628e-11,0.9999999999272404,1.1541981568329275e-11,4.2708345588783614e-54
2025-05-26,1,high-volatility,0.9999999899082468,7.659684604635969e-17,0.9999999899082468,1.0091692516927096e-08,2.6325539521585824e-67
2025-05-27,1,high-volatility,1.0,2.3039676835849904e-21,1.0,1.0989391996193388e-13,2.0296232866449503e-103
2025-05-28,1,high-volatility,0.9999999998490239,1.1542828569253209e-28,0.9999999998490239,1.5092963216668947e-10,3.547966721873022e-127
2025-05-29,1,high-volatility,0.9999999998256044,3.6953191195535866e-27,0.9999999998256044,1.7435081257601534e-10,3.5516705397520466e-148
2025-05-30,1,high-volatility,0.9999999962715265,3.0971321352392163e-29,0.9999999962715265,3.728447987332437e-09,3.0628147613765904e-172
2025-05-31,1,high-volatility,1.0,7.268973435826393e-31,1.0,5.3320361707176174e-14,1.0006561469047338e-174
2025-06-01,1,high-volatility,1.0,1.5292006694796353e-43,1.0,6.106967795076347e-20,1.617192811675834e-160
2025-06-02,1,high-volatility,1.0,2.871232394486641e-40,1.0,2.681499921732087e-16,5.12565694278872e-125
2025-06-03,1,high-volatility,1.0,2.963095521072625e-40,1.0,5.998572938665698e-26,1.2120174333218106e-157
2025-06-04,1,high-volatility,1.0,3.635023357627249e-42,1.0,6.0342060237432104e-24,3.27392159056857e-176
2025-06-05,1,high-volatility,1.0,5.548164366996431e-42,1.0,2.243669285013731e-26,1.0924027072075489e-173
2025-06-06,1,high-volatility,1.0,3.061348612166303e-41,1.0,8.267961877635995e-26,1.112116590755191e-170
2025-06-07,1,high-volatility,1.0,9.309668133130377e-40,1.0,1.6007031440454528e-23,7.573067672857508e-160
2025-06-08,1,high-volatility,1.0,3.371256543842659e-39,1.0,1.5823901830668663e-24,4.959711899850811e-166
2025-06-09,1,high-volatility,1.0,7.73023978632154e-39,1.0,4.935850397654799e-27,4.2716266093137906e-182
2025-06-10,1,high-volatility,1.0,1.1840414345344207e-37,1.0,2.423037703078553e-26,1.4819756055079258e-178
2025-06-11,1,high-volatility,1.0,1.438614065206841e-35,1.0,2.8143013941111293e-21,2.2254377266319933e-132
2025-06-12,1,high-volatility,0.9999999999938609,6.357335874976604e-30,0.9999999999938609,6.195352143036133e-12,5.766037699523598e-73
2025-06-13,1,high-volatility,0.9999999999943157,2.9676476220789607e-25,0.9999999999943157,5.7624021534339985e-12,2.1813411405680614e-49
2025-06-14,1,high-volatility,0.9999999999984084,8.974003016034551e-25,0.9999999999984084,1.6872180783398803e-12,1.3476762141485438e-57
