date,state,regime,confidence,prob_bull,prob_high-volatility,prob_low-volatility,prob_bear
2025-05-23,2,low-volatility,1.0,1.27257482954527e-30,6.283911551751483e-51,1.0,0.0
2025-05-24,2,low-volatility,1.0,1.853345792943674e-30,3.833585174212754e-38,1.0,0.0
2025-05-25,2,low-volatility,1.0,9.658886374560695e-29,2.782556826571122e-33,1.0,0.0
2025-05-26,2,low-volatility,1.0,4.355317064163245e-28,1.3481257681909737e-36,1.0,0.0
2025-05-27,2,low-volatility,1.0,1.6148125246990452e-23,2.1558709665145581e-60,1.0,0.0
2025-05-28,2,low-volatility,1.0,1.9899469157424267e-15,1.2365930489706308e-31,1.0,0.0
2025-05-29,2,low-volatility,1.0,1.6028872106400575e-14,1.1690383244222289e-28,1.0,0.0
2025-05-30,2,low-volatility,1.0,3.1398164410755026e-14,3.519960636694775e-27,1.0,0.0
2025-05-31,2,low-volatility,1.0,2.7190598883577748e-14,1.4192099040903184e-28,1.0,0.0
2025-06-01,2,low-volatility,1.0,3.206355998820363e-14,9.240981395136402e-32,1.0,0.0
2025-06-02,2,low-volatility,1.0,1.0301684022206068e-13,2.560526308397046e-31,1.0,0.0
2025-06-03,2,low-volatility,0.9999999999965894,3.2983385232072736e-12,4.613740900965081e-40,0.9999999999965894,0.0
2025-06-04,2,low-volatility,0.9999999999693046,3.067301295362667e-11,4.058638046421957e-31,0.9999999999693046,0.0
2025-06-05,2,low-volatility,0.9999999999665761,3.3447650650606075e-11,3.378751861312916e-36,0.9999999999665761,0.0
2025-06-06,2,low-volatility,0.9999999999938609,6.122032459050427e-12,1.052833391582298e-36,0.9999999999938609,0.0
2025-06-07,2,low-volatility,0.9999999999986358,1.3058243665896224e-12,4.534152161942495e-36,0.9999999999986358,0.0
2025-06-08,2,low-volatility,0.999999999998181,1.8156369973237997e-12,7.189659669232569e-31,0.999999999998181,0.0
2025-06-09,2,low-volatility,0.9999999999893134,1.0687257232481327e-11,1.720760275312763e-33,0.9999999999893134,0.0
2025-06-10,2,low-volatility,0.9999999999895408,1.03658844807153e-11,6.579730564883741e-33,0.9999999999895408,0.0
2025-06-11,2,low-volatility,0.9999999818730886,1.812681646829155e-08,2.789748137755804e-31,0.9999999818730886,0.0
2025-06-12,0,bull,0.9556004258855247,0.9556004258855247,5.008485091489181e-82,0.04439957411437738,0.0
2025-06-13,0,bull,0.9999080860524985,0.9999080860524985,8.934190087069663e-98,9.191394744948735e-05,0.0
2025-06-14,0,bull,0.9999999217855051,0.9999999217855051,3.876532657595536e-103,7.821450330166908e-08,0.0
2025-06-15,0,bull,0.9999999114065797,0.9999999114065797,1.3004239276414267e-100,8.859333667184256e-08,0.0
2025-06-16,0,bull,0.9999999860024218,0.9999999860024218,2.77839021259847e-107,1.3997654180165269e-08,0.0
2025-06-17,0,bull,0.9999999628573739,0.9999999628573739,1.0058856675268916e-104,3.714272022421758e-08,0.0
2025-06-18,0,bull,0.9999997610077856,0.9999997610077856,3.277621892506785e-81,2.3899213783611275e-07,0.0
2025-06-19,0,bull,0.999999929369326,0.999999929369326,1.6050841865742143e-75,7.063068120705477e-08,0.0
2025-06-20,0,bull,0.9999999280930777,0.9999999280930777,4.3154869384056196e-78,7.19068537034602e-08,0.0
2025-06-21,0,bull,0.9999999422807394,0.9999999422807394,1.02462149215841e-78,5.771933056855735e-08,0.0
2025-06-22,0,bull,0.9999999739588933,0.9999999739588933,2.6657858703232983e-72,2.6041161920183748e-08,0.0
2025-06-23,0,bull,0.999984397563441,0.999984397563441,8.247686741375441e-79,1.560243651554393e-05,0.0
2025-06-24,2,low-volatility,0.9999999988890522,1.1109674904175655e-09,7.85580170930191e-43,0.9999999988890522,0.0
2025-06-25,2,low-volatility,0.9999999998788098,1.2111964091949634e-10,1.0952540856947836e-27,0.9999999998788098,0.0
2025-06-26,2,low-volatility,1.0,3.6304355543494705e-15,2.3566226995065265e-35,1.0,0.0
2025-06-27,2,low-volatility,1.0,2.122553812079361e-16,1.143782729744242e-23,1.0,0.0
2025-06-28,2,low-volatility,1.0,2.271092794973583e-16,3.538684174392128e-23,1.0,0.0
2025-06-29,2,low-volatility,1.0,1.7756516891676207e-16,2.2064856358541756e-23,1.0,0.0
2025-06-30,2,low-volatility,1.0,5.5404778869085315e-17,3.236483496570423e-17,1.0,0.0
2025-07-01,2,low-volatility,1.0,2.607365159407266e-17,3.865758195162508e-26,1.0,0.0
2025-07-02,2,low-volatility,1.0,1.901605746153242e-17,2.270105861937498e-18,1.0,0.0
2025-07-03,2,low-volatility,1.0,3.8783655463376595e-18,3.260720736624209e-36,1.0,0.0
2025-07-04,2,low-volatility,1.0,4.1507016812323734e-18,5.125321528250499e-32,1.0,0.0
2025-07-05,2,low-volatility,1.0,1.1711887565967157e-17,4.3427363743236e-32,1.0,0.0
2025-07-06,2,low-volatility,1.0,2.3233077914948316e-17,2.50776243100314e-31,1.0,0.0
2025-07-07,2,low-volatility,1.0,2.64827699018345e-18,4.5722036771448754e-26,1.0,0.0
2025-07-08,2,low-volatility,1.0,2.1693463052298365e-14,1.431522153979467e-29,1.0,0.0
2025-07-09,2,low-volatility,1.0,1.3419557297877772e-14,2.7014251561525294e-34,1.0,0.0
2025-07-10,2,low-volatility,1.0,1.814797860900281e-14,2.5008298896974047e-30,1.0,0.0
2025-07-11,2,low-volatility,0.9999999999997726,1.3063216534080468e-13,1.7874895721878863e-30,0.9999999999997726,0.0
