Asset,AssetID,Horizons,N_Horizons,Threshold,Sharpe,Return,WinRate,DA,Trades
Bitcoin,1860,D3+D5+D10,3,0.2,-1.043,-0.62,60.0,60.0,5
Bitcoin,1860,D3+D5+D8+D13,4,0.1,-1.088,-5.54,55.3,55.3,38
Bitcoin,1860,D3+D5,2,0.3,-1.242,-0.63,50.0,50.0,6
Bitcoin,1860,D3+D10,2,0.1,-1.275,-9.9,53.8,53.8,52
Bitcoin,1860,D3+D5+D8+D10,4,0.1,-1.275,-9.9,53.8,53.8,52
Bitcoin,1860,D3+D8+D10,3,0.05,-1.295,-17.53,51.4,51.4,105
Bitcoin,1860,D5+D8+D10,3,0.1,-1.395,-11.57,50.0,50.0,54
Bitcoin,1860,D3+D8+D10,3,0.2,-1.434,-0.54,33.3,33.3,3
Bitcoin,1860,D1+D3+D5+D10,4,0.1,-1.488,-8.07,54.3,54.3,35
Bitcoin,1860,D1+D5+D10,3,0.1,-1.493,-7.41,57.6,57.6,33
Bitcoin,1860,D5+D10,2,0.1,-1.628,-13.55,49.1,49.1,57
Bitcoin,1860,D5+D8+D10,3,0.05,-1.697,-21.12,52.5,52.5,99
Bitcoin,1860,D5+D10,2,0.05,-1.727,-21.29,54.1,54.1,98
Bitcoin,1860,D5+D8,2,0.1,-1.831,-15.78,54.3,54.3,70
Bitcoin,1860,D1+D3+D8+D10,4,0.1,-1.88,-9.16,57.1,57.1,35
Bitcoin,1860,D5+D8,2,0.05,-1.937,-24.05,52.3,52.3,107
Bitcoin,1860,D1+D3+D10,3,0.1,-2.379,-11.51,52.8,52.8,36
Bitcoin,1860,D1+D10,2,0.1,-2.409,-10.64,54.8,54.8,31
Bitcoin,1860,D1+D5+D8+D10,4,0.1,-3.173,-13.42,51.6,51.6,31
Bitcoin,1860,D5+D8,2,0.2,-4.959,-5.58,50.0,50.0,14
Bitcoin,1860,D3+D8,2,0.2,-5.315,-6.18,25.0,25.0,12
Bitcoin,1860,D5+D13,2,0.3,-5.43,-1.94,50.0,50.0,4
Bitcoin,1860,D3+D5+D8,3,0.2,-5.992,-6.61,25.0,25.0,12
Bitcoin,1860,D5+D8,2,0.3,-25.621,-2.89,0.0,0.0,2
Bitcoin,1860,D5+D8+D13,3,0.3,-1146722490.542,-0.72,0.0,0.0,1
Crude_Oil,1866,D2+D3+D6,3,0.2,1451853178.462,0.91,100.0,100.0,1
Crude_Oil,1866,D6+D9,2,0.3,1049901313.915,0.66,100.0,100.0,1
Crude_Oil,1866,D2+D5+D7+D10,4,0.1,300757124.578,0.19,100.0,100.0,1
Crude_Oil,1866,D2+D6+D7,3,0.2,270665095.761,0.17,100.0,100.0,1
Crude_Oil,1866,D1+D3+D6,3,0.2,20.661,3.06,66.7,66.7,3
Crude_Oil,1866,D1+D2+D4+D6,4,0.2,20.661,3.06,66.7,66.7,3
Crude_Oil,1866,D6+D8,2,0.2,18.14,6.61,100.0,100.0,3
Crude_Oil,1866,D6+D7+D8,3,0.2,18.14,6.61,100.0,100.0,3
Crude_Oil,1866,D3+D4,2,0.3,17.221,1.31,60.0,60.0,5
Crude_Oil,1866,D2+D5+D8+D10,4,0.1,15.875,0.19,50.0,50.0,2
Crude_Oil,1866,D1+D2+D3+D8,4,0.2,15.875,1.89,50.0,50.0,2
Crude_Oil,1866,D4+D6+D7,3,0.2,15.875,0.17,50.0,50.0,2
Crude_Oil,1866,D1+D3+D4,3,0.3,15.875,1.89,50.0,50.0,2
Crude_Oil,1866,D1+D2+D3+D4,4,0.3,15.875,1.89,50.0,50.0,2
Crude_Oil,1866,D3+D4+D6+D7,4,0.2,15.875,0.17,50.0,50.0,2
Crude_Oil,1866,D1+D2+D3+D10,4,0.2,15.875,1.89,50.0,50.0,2
Crude_Oil,1866,D1+D2+D4+D7,4,0.2,15.875,1.89,50.0,50.0,2
Crude_Oil,1866,D1+D2+D3+D9,4,0.2,15.875,1.89,50.0,50.0,2
Crude_Oil,1866,D1+D2+D4+D8,4,0.2,15.875,1.89,50.0,50.0,2
Crude_Oil,1866,D1+D4,2,0.3,15.875,1.89,50.0,50.0,2
Crude_Oil,1866,D1+D3+D7,3,0.2,15.875,1.89,50.0,50.0,2
